deck_label,slide_number,slide_id,title_text,object_count,text_object_count,picture_count,connector_count,table_count,text_char_count,paragraph_count,bullet_count,text_area_ratio,text_density_chars_per_1000pt2,occupied_area_ratio,object_density_per_million_pt2,focal_box_ratio,alignment_cue_ratio,min_font_pt,median_font_pt,max_font_pt,font_tier_count,title_font_pt,title_to_median_font_ratio,focus_hierarchy_proxy_percentile,load_headroom_proxy_percentile,relationship_encoding_declaration_count,reader_task,relationship_type,selected_grammar,reading_path_declared,visible_cue_count,manual_focus,manual_load,manual_relationship,manual_transition,manual_rhythm
prompt-engineering-whole-work.fresh-v15,1,S01,엔지니어링은 왜 계속 늘어날까?,15,9,0,0,0,151,10,10,0.18893500000000002,1.541698807513329,0.53474,28.935185185185187,0.068875,0.7666666666666667,10.0,12.0,30.0,4,30.0,2.5,0.591,0.705,4,locate,constellation,term constellation,True,3,strong,low,adequate,orient,anchor
prompt-engineering-whole-work.fresh-v15,2,S02,"이름이 늘면, LLM이 일할 조건도 나뉘는가?",25,12,0,0,0,188,13,13,0.242129,1.4977731745790643,0.42002899999999993,48.22530864197531,0.069,0.58,9.0,12.5,24.0,7,24.0,1.92,0.394,0.369,4,other,terms_to_one_request,converging term bridge,True,3,adequate,low,conditional,orient,transition
prompt-engineering-whole-work.fresh-v15,3,S03,"문장은 분명해도, 일은 비어 있을 수 있다",16,8,1,0,0,110,8,8,0.173135,1.2255832617592708,0.5457989999999999,30.864197530864196,0.21494646916010499,0.8125,9.0,13.0,24.0,4,24.0,1.8461538461538463,0.674,0.67,4,locate,assertion_evidence,claim-evidence split,True,3,strong,balanced,adequate,explain,explanation
prompt-engineering-whole-work.fresh-v15,4,S04,좋은 한 줄에는 여섯 판단이 이미 반영되어 있다,22,11,1,0,0,126,13,13,0.16500900000000002,1.4729836285024183,0.5070089999999999,42.43827160493827,0.165330093832021,0.8181818181818182,9.0,13.0,24.0,4,24.0,1.8461538461538463,0.598,0.403,4,trace,hidden_conditions,whole-work scene + native condition cards,True,4,strong,balanced,strong,trace,explanation
prompt-engineering-whole-work.fresh-v15,5,S05,프롬프트 문장은 전체 일의 판단이LLM에게 보이는 형태다,20,12,0,0,0,290,15,15,0.300275,1.8630041803244146,0.5055230000000001,38.58024691358025,0.069,0.7375,9.0,13.5,24.0,7,24.0,1.7777777777777777,0.394,0.29,4,trace,situation_action_transition_to_prompt_expression,condition groups converging to prompt sentence,True,4,strong,balanced,strong,trace,explanation
prompt-engineering-whole-work.fresh-v15,6,S06,프롬프트 엔지니어링은 LLM이 전체 일을 하도록조건을 판단·표현·조정하는 일이다,15,8,0,0,0,211,14,14,0.316613,1.285549250783359,0.43587099999999995,28.935185185185187,0.069,0.5333333333333333,9.0,15.0,24.0,5,24.0,1.6,0.189,0.528,4,trace,judgment_expression_adjustment,judgment-expression-adjustment chain,True,4,strong,low,strong,trace,explanation
prompt-engineering-whole-work.fresh-v15,7,S07,Context — LLM이 볼 시작 상태를 주는 위치,15,9,1,0,0,192,11,11,0.20242100000000002,1.8297032934842252,0.5515209999999999,28.935185185185187,0.20396061526684162,0.5166666666666667,9.0,13.0,24.0,7,24.0,1.8461538461538463,0.402,0.477,4,locate,implementation_location,contextual generated scene + native boundary,True,3,adequate,balanced,adequate,explain,explanation
prompt-engineering-whole-work.fresh-v15,8,S08,Agent — LLM의 다음 행동과 경계를 주는 위치,18,9,1,0,0,137,12,12,0.18289700000000003,1.4449372671942387,0.528379,34.72222222222222,0.20804657567804022,0.6666666666666666,9.0,12.0,24.0,5,24.0,2.0,0.712,0.511,4,decide,implementation_location,contextual generated scene + native boundary,True,3,adequate,balanced,adequate,decide,explanation
prompt-engineering-whole-work.fresh-v15,9,S09,Compound — LLM에 줄 역할과 연결을 배치하는 위치,22,10,0,0,0,111,11,11,0.166695,1.2845038565666058,0.30939755655482903,42.43827160493827,0.069,0.5,9.0,13.0,24.0,5,24.0,1.8461538461538463,0.22,0.5,4,trace,component_roles,radial role map,True,3,adequate,low,conditional,trace,transition
prompt-engineering-whole-work.fresh-v15,10,S10,Harness — LLM의 평가·복구 조건을 굳히는 위치,19,9,1,0,0,166,10,10,0.18771200000000002,1.7058901369263342,0.532008,36.651234567901234,0.21079297244094486,0.618421052631579,9.0,12.5,24.0,4,24.0,1.92,0.621,0.472,4,trace,implementation_location,contextual generated scene + native boundary,True,3,adequate,balanced,adequate,trace,explanation
prompt-engineering-whole-work.fresh-v15,11,S11,루프는 상황 단서를 읽고다음 행동을 가늠해 조정하는 형식이다,21,9,1,0,0,203,15,15,0.22079500000000002,1.7735433600074253,0.6172549999999998,40.50925925925926,0.28051934076990376,0.5952380952380952,9.0,12.5,24.0,4,24.0,1.92,0.652,0.312,4,trace,cue_action_simulation_feedback_loop,feedback loop,True,4,adequate,balanced,strong,trace,explanation
